ensembl_gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_gene_id_version	external_gene_name	gene_biotype	chromosome_name	start_position	end_position	strand	source	description
ENSMUSG00000106099	777.638080427609	0.762645302336857	0.177082323129691	8.26500300586798e-08	0.00104177786708736	ENSMUSG00000106099.2	Gm42664	lncRNA	3	119536857	119540095	-1	havana	predicted gene 42664 [Source:MGI Symbol;Acc:MGI:5662801]
ENSMUSG00000091509	412.859509284151	0.607928321361459	0.224940758442794	1.28137137797855e-06	0.0104585531870609	ENSMUSG00000091509.8	Gm17066	lncRNA	14	105346826	105352112	-1	havana	predicted gene 17066 [Source:MGI Symbol;Acc:MGI:4937893]
ENSMUSG00000105933	116.264728793755	0.514955469393414	0.340377434020061	1.18927711133577e-05	0.0582412786963354	ENSMUSG00000105933.2	Gm43260	lncRNA	3	104087928	104090357	-1	havana	predicted gene 43260 [Source:MGI Symbol;Acc:MGI:5663397]
ENSMUSG00000110246	612.299983672496	0.391248564450241	0.269164817338879	1.76930405736906e-05	0.0722052985812312	ENSMUSG00000110246.3	C130073E24Rik	lncRNA	8	51196326	51370032	-1	havana	RIKEN cDNA C130073E24 gene [Source:MGI Symbol;Acc:MGI:2442759]
ENSMUSG00000102362	53.484639672925	0.36687931383524	0.386058839620685	3.62433105942075e-05	0.0986059670233071	ENSMUSG00000102362.2	4930509J09Rik	lncRNA	3	73258539	73388984	-1	havana	RIKEN cDNA 4930509J09 gene [Source:MGI Symbol;Acc:MGI:1921943]
ENSMUSG00000084911	604.571455680553	0.232419653693014	0.200229534848626	7.53646193202237e-05	0.132501795227876	ENSMUSG00000084911.2	Gm16185	lncRNA	9	96967379	96970663	1	havana	predicted gene 16185 [Source:MGI Symbol;Acc:MGI:3802169]
ENSMUSG00000100394	101.340856178484	0.234650118042001	0.304327453827569	0.000133954211762906	0.172631727854027	ENSMUSG00000100394.2	Gm28791	lncRNA	1	152754271	152756049	-1	havana	predicted gene 28791 [Source:MGI Symbol;Acc:MGI:5579497]
ENSMUSG00000112354	569.748962243427	0.175236655704472	0.181856002328269	0.000259341748957623	0.222143883221112	ENSMUSG00000112354.3	Gm33843	lncRNA	10	96355019	96431593	-1	havana	predicted gene, 33843 [Source:MGI Symbol;Acc:MGI:5593002]
ENSMUSG00000110424	380.413235877845	0.150701064218465	0.127355249916589	0.000329158971794965	0.25186833073036	ENSMUSG00000110424.3	Zbed5-ps	lncRNA	7	110682271	110721911	-1	havana	zinc finger, BED type containing 5, pseudogene [Source:MGI Symbol;Acc:MGI:1922729]
ENSMUSG00000106443	119.297813959887	0.169407918139854	0.217757889841815	0.000351740446920046	0.253315193626007	ENSMUSG00000106443.2	Gm42702	lncRNA	3	104043101	104047317	-1	havana	predicted gene 42702 [Source:MGI Symbol;Acc:MGI:5662839]
